[2019-02-21 20:09:50,160] {/home/alphatech/Documents/Challanges/project_api/blueprints/__init__.py:38} WARNING - REQUEST LOG	{"request": {}, "response": {"data": [{"wind_cdir": "SSE", "rh": 83, "pod": "n", "lon": 106.83, "pres": 1011.1, "timezone": "Asia/Jakarta", "ob_time": "2019-02-21 12:30", "country_code": "ID", "clouds": 45, "vis": 10, "solar_rad": 0, "state_code": "04", "wind_spd": 1.5, "lat": -6.17, "wind_cdir_full": "south-southeast", "slp": 1012, "datetime": "2019-02-21:12", "ts": 1550752200, "station": "WIII", "h_angle": -90, "dewpt": 23.9, "uv": 0, "dni": 0, "wind_dir": 160, "elev_angle": -11.94, "ghi": 0, "dhi": 0, "precip": null, "city_name": "Jakarta", "weather": {"icon": "c02n", "code": "802", "description": "Scattered clouds"}, "sunset": "11:14", "temp": 27, "sunrise": "22:58", "app_temp": 30.1}], "count": 1}}
[2019-02-21 20:10:55,957] {/home/alphatech/Documents/Challanges/project_api/blueprints/__init__.py:38} WARNING - REQUEST LOG	{"request": {}, "response": {"data": [{"wind_cdir": "SSE", "rh": 83, "pod": "n", "lon": 106.83, "pres": 1011.1, "timezone": "Asia/Jakarta", "ob_time": "2019-02-21 12:30", "country_code": "ID", "clouds": 45, "vis": 10, "solar_rad": 0, "state_code": "04", "wind_spd": 1.5, "lat": -6.17, "wind_cdir_full": "south-southeast", "slp": 1012, "datetime": "2019-02-21:12", "ts": 1550752200, "station": "WIII", "h_angle": -90, "dewpt": 23.9, "uv": 0, "dni": 0, "wind_dir": 160, "elev_angle": -11.94, "ghi": 0, "dhi": 0, "precip": null, "city_name": "Jakarta", "weather": {"icon": "c02n", "code": "802", "description": "Scattered clouds"}, "sunset": "11:14", "temp": 27, "sunrise": "22:58", "app_temp": 30.1}], "count": 1}}
[2019-02-21 20:11:11,999] {/home/alphatech/Documents/Challanges/project_api/blueprints/__init__.py:38} WARNING - REQUEST LOG	{"request": {}, "response": {"message": "The requested URL was not found on the server.  If you entered the URL manually please check your spelling and try again."}}
[2019-02-21 20:11:59,205] {/home/alphatech/Documents/Challanges/project_api/blueprints/__init__.py:38} WARNING - REQUEST LOG	{"request": {}, "response": {"message": "The requested URL was not found on the server.  If you entered the URL manually please check your spelling and try again."}}
[2019-02-21 20:12:01,353] {/home/alphatech/Documents/Challanges/project_api/blueprints/__init__.py:38} WARNING - REQUEST LOG	{"request": {}, "response": {"message": "The requested URL was not found on the server.  If you entered the URL manually please check your spelling and try again."}}
[2019-02-21 20:12:11,162] {/home/alphatech/Documents/Challanges/project_api/blueprints/__init__.py:38} WARNING - REQUEST LOG	{"request": {}, "response": {"message": "The requested URL was not found on the server.  If you entered the URL manually please check your spelling and try again."}}
[2019-02-21 20:12:46,171] {/home/alphatech/Documents/Challanges/project_api/blueprints/__init__.py:38} WARNING - REQUEST LOG	{"request": {}, "response": {"msg": "Missing Authorization Header"}}
[2019-02-21 20:13:09,307] {/home/alphatech/Documents/Challanges/project_api/blueprints/__init__.py:38} WARNING - REQUEST LOG	{"request": {}, "response": {"country_code": "ID", "city_name": "Jakarta", "weather_code": "802", "weather_desc": "Scattered clouds", "temp": 27}}
[2019-02-21 23:21:10,005] {/home/alphatech123/ProjectApi/blueprints/__init__.py:42} WARNING - REQUEST LOG	{"request": null, "response": {"id": 4654, "title": "Wisdom, Justice, and Love", "artist": "Linkin Park", "genre": "trance"}}
[2019-02-22 00:19:28,383] {/home/alphatech123/ProjectApi/blueprints/__init__.py:42} WARNING - REQUEST LOG	{"request": null, "response": {"msg": "Missing Authorization Header"}}
[2019-02-22 00:21:32,876] {/home/alphatech123/ProjectApi/blueprints/__init__.py:42} WARNING - REQUEST LOG	{"request": null, "response": {"msg": "Missing Authorization Header"}}
[2019-02-22 00:21:57,138] {/home/alphatech123/ProjectApi/blueprints/__init__.py:42} WARNING - REQUEST LOG	{"request": null, "response": {"msg": "Missing Authorization Header"}}
[2019-02-22 00:22:28,415] {/home/alphatech123/ProjectApi/blueprints/__init__.py:42} WARNING - REQUEST LOG	{"request": null, "response": {"msg": "Missing Authorization Header"}}
[2019-02-22 00:23:11,485] {/home/alphatech123/ProjectApi/blueprints/__init__.py:42} WARNING - REQUEST LOG	{"request": null, "response": "OK"}
[2019-02-22 00:45:05,148] {/home/alphatech123/ProjectApi/blueprints/__init__.py:42} WARNING - REQUEST LOG	{"request": null, "response": "OK"}
[2019-02-22 01:19:29,412] {/home/alphatech123/ProjectApi/blueprints/__init__.py:42} WARNING - REQUEST LOG	{"request": null, "response": "OK"}
[2019-02-22 04:24:10,772] {/home/alphatech/virtualenv/rest_training/rest_svc/project/blueprints/__init__.py:38} WARNING - REQUEST LOG	{"request": {}, "response": [{"id": 1853, "title": "Lollipop", "artist": "Lil' Wayne", "genre": "rap"}, {"id": 1201, "title": "Kids", "artist": "MGMT", "genre": "dance"}, {"id": 2351, "title": "Du hast", "artist": "Rammstein", "genre": "german"}, {"id": 901, "title": "Mr. Brightside", "artist": "The Killers", "genre": "indie rock"}, {"id": 1955, "title": "Wake Me Up When September Ends", "artist": "Green Day", "genre": "punk rock"}, {"id": 2252, "title": "Kid A", "artist": "Radiohead", "genre": "post-rock"}, {"id": 1654, "title": "Harder, Better, Faster, Stronger", "artist": "Daft Punk", "genre": "electronica"}, {"id": 1805, "title": "Paper Planes", "artist": "M.I.A.", "genre": "Soundtrack"}, {"id": 1052, "title": "The Great Gig in the Sky", "artist": "Pink Floyd", "genre": "instrumental"}, {"id": 1353, "title": "Take This Life", "artist": "In Flames", "genre": "death metal"}]}
